RA, dec
00 03 50.6, +02 03 48
00 06 03.0, -34 43 27
00 20 42.8, -25 42 37
00 49 24.0, -29 31 28
01 45 02.3, -53 00 50
02 11 25.5, -40 17 12
02 25 10.5, -29 28 26
03 45 45.7, -41 12 27
05 47 38.2, -31 52 31
06 05 52.8, -35 18 02
06 16 53.6, -47 48 18
06 45 29.3, -54 13 08
08 21 51.7, +01 12 42
09 56 26.4, -10 04 12
09 58 22.1, -11 03 35
10 44 33.0, -07 04 22
11 41 24.3, -12 16 20
12 36 44.7, -33 54 10
13 02 50.7, -02 30 22
13 11 30.0, -01 20 07
13 50 43.9, -33 43 17
15 16 19.2, +00 05 52
15 16 34.0, -00 56 56
20 14 49.7, -24 30 30
20 23 01.6, -20 56 55
20 48 10.6, -17 50 38
21 29 51.0, -50 48 04
21 49 07.4, -30 41 55
21 52 14.2, -19 42 20
21 57 25.8, -07 47 41
22 17 43.3, -35 43 34
22 18 40.2, -38 53 51
22 34 31.0, -37 44 06
23 19 41.8, -73 13 51
